MSSubClass,MSZoning,LotArea,LotShape,LandContour,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Heating,CentralAir,Electrical,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageArea,MoSold,YrSold,SaleCondition,SalePrice,TotalSF
60,RL,8450,Reg,Lvl,1Fam,2Story,7,5,2003,GasA,Y,SBrkr,1710,2,3,1,8,0,Attchd,548,2,2008,Normal,208500,2566
20,RL,9600,Reg,Lvl,1Fam,1Story,6,8,1976,GasA,Y,SBrkr,1262,2,3,1,6,1,Attchd,460,5,2007,Normal,181500,2524
60,RL,11250,IR1,Lvl,1Fam,2Story,7,5,2001,GasA,Y,SBrkr,1786,2,3,1,6,1,Attchd,608,9,2008,Normal,223500,2706
70,RL,9550,IR1,Lvl,1Fam,2Story,7,5,1915,GasA,Y,SBrkr,1717,1,3,1,7,1,Detchd,642,2,2006,Abnorml,140000,2473
60,RL,14260,IR1,Lvl,1Fam,2Story,8,5,2000,GasA,Y,SBrkr,2198,2,4,1,9,1,Attchd,836,12,2008,Normal,250000,3343
50,RL,14115,IR1,Lvl,1Fam,1.5Fin,5,5,1993,GasA,Y,SBrkr,1362,1,1,1,5,0,Attchd,480,10,2009,Normal,143000,2158
20,RL,10084,Reg,Lvl,1Fam,1Story,8,5,2004,GasA,Y,SBrkr,1694,2,3,1,7,1,Attchd,636,8,2007,Normal,307000,3380
60,RL,10382,IR1,Lvl,1Fam,2Story,7,6,1973,GasA,Y,SBrkr,2090,2,3,1,7,2,Attchd,484,11,2009,Normal,200000,3197
50,RM,6120,Reg,Lvl,1Fam,1.5Fin,7,5,1931,GasA,Y,FuseF,1774,2,2,2,8,2,Detchd,468,4,2008,Abnorml,129900,2726
190,RL,7420,Reg,Lvl,2fmCon,1.5Unf,5,6,1939,GasA,Y,SBrkr,1077,1,2,2,5,2,Attchd,205,1,2008,Normal,118000,2068
20,RL,11200,Reg,Lvl,1Fam,1Story,5,5,1965,GasA,Y,SBrkr,1040,1,3,1,5,0,Detchd,384,2,2008,Normal,129500,2080
60,RL,11924,IR1,Lvl,1Fam,2Story,9,5,2005,GasA,Y,SBrkr,2324,3,4,1,11,2,BuiltIn,736,7,2006,Partial,345000,3499
20,RL,12968,IR2,Lvl,1Fam,1Story,5,6,1962,GasA,Y,SBrkr,912,1,2,1,4,0,Detchd,352,9,2008,Normal,144000,1824
20,RL,10652,IR1,Lvl,1Fam,1Story,7,5,2006,GasA,Y,SBrkr,1494,2,3,1,7,1,Attchd,840,8,2007,Partial,279500,2988
20,RL,10920,IR1,Lvl,1Fam,1Story,6,5,1960,GasA,Y,SBrkr,1253,1,2,1,5,1,Attchd,352,5,2008,Normal,157000,2506
45,RM,6120,Reg,Lvl,1Fam,1.5Unf,7,8,1929,GasA,Y,FuseA,854,1,2,1,5,0,Detchd,576,7,2007,Normal,132000,1686
20,RL,11241,IR1,Lvl,1Fam,1Story,6,7,1970,GasA,Y,SBrkr,1004,1,2,1,5,1,Attchd,480,3,2010,Normal,149000,2008
90,RL,10791,Reg,Lvl,Duplex,1Story,4,5,1967,GasA,Y,SBrkr,1296,2,2,2,6,0,CarPort,516,10,2006,Normal,90000,1296
20,RL,13695,Reg,Lvl,1Fam,1Story,5,5,2004,GasA,Y,SBrkr,1114,1,3,1,6,0,Detchd,576,6,2008,Normal,159000,2228
20,RL,7560,Reg,Lvl,1Fam,1Story,5,6,1958,GasA,Y,SBrkr,1339,1,3,1,6,0,Attchd,294,5,2009,Abnorml,139000,2368
60,RL,14215,IR1,Lvl,1Fam,2Story,8,5,2005,GasA,Y,SBrkr,2376,3,4,1,9,1,BuiltIn,853,11,2006,Partial,325300,3534
45,RM,7449,Reg,Bnk,1Fam,1.5Unf,7,7,1930,GasA,Y,FuseF,1108,1,3,1,6,1,Attchd,280,6,2007,Normal,139400,1745
20,RL,9742,Reg,Lvl,1Fam,1Story,8,5,2002,GasA,Y,SBrkr,1795,2,3,1,7,1,Attchd,534,9,2008,Normal,230000,3572
120,RM,4224,Reg,Lvl,TwnhsE,1Story,5,7,1976,GasA,Y,SBrkr,1060,1,3,1,6,1,Attchd,572,6,2007,Normal,129900,2100
20,RL,8246,IR1,Lvl,1Fam,1Story,5,8,1968,GasA,Y,SBrkr,1060,1,3,1,6,1,Attchd,270,5,2010,Normal,154000,2120
20,RL,14230,Reg,Lvl,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1600,2,3,1,7,1,Attchd,890,7,2009,Normal,256300,3166
20,RL,7200,Reg,Lvl,1Fam,1Story,5,7,1951,GasA,Y,SBrkr,900,1,3,1,5,0,Detchd,576,5,2010,Normal,134800,1800
20,RL,11478,Reg,Lvl,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1704,2,3,1,7,1,Attchd,772,5,2010,Normal,306000,3408
20,RL,16321,IR1,Lvl,1Fam,1Story,5,6,1957,GasA,Y,SBrkr,1600,1,2,1,6,2,Attchd,319,12,2006,Normal,207500,3084
30,RM,6324,IR1,Lvl,1Fam,1Story,4,6,1927,GasA,N,SBrkr,520,1,1,1,4,0,Detchd,240,5,2008,Normal,68500,1040
70,C (all),8500,Reg,Lvl,1Fam,2Story,4,4,1920,GasA,N,SBrkr,1317,1,3,1,6,0,Detchd,250,7,2008,Normal,40000,1966
20,RL,8544,IR1,Lvl,1Fam,1Story,5,6,1966,GasA,Y,SBrkr,1228,1,3,1,6,0,Attchd,271,6,2008,Normal,149350,2456
20,RL,11049,Reg,Lvl,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1234,2,3,1,7,0,Attchd,484,1,2008,Normal,179900,2468
20,RL,10552,IR1,Lvl,1Fam,1Story,5,5,1959,GasA,Y,SBrkr,1700,1,4,1,6,1,Attchd,447,4,2010,Normal,165500,3098
